Platform,Domain,Linkedin Company Page,Country,,Continent,Total,Max,Min,Months,,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 1,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2,Year 2
Magento,https://nickscali.com.au/,https://www.linkedin.com/company/nick-scali-furniture,Australia,,,"$12.300,00","$900,00","$100,00",19,,,,,$100,$100,$100,$300,$300,$300,$400,$400,$400,$900,$900,$900,$900,$900,$900,$900,$900,$900,$900,$900
Magento,https://carcareproducts.com.au/,no url,Australia,,,"$7.400,00","$400,00","$100,00",19,,,,,$100,$100,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400
Shopify,https://lilyandbling.com/,no url,Singapore,,,"$14.500,00","$800,00","$700,00",19,,,,,$700,$700,$800,$800,$800,$800,$800,$700,$700,$700,$700,$700,$700,$700,$700,$700,$700,$700,$700,$700
Magento,https://lorac.com/,https://www.linkedin.com/company/lorac-marketing,United States,,,"$10.800,00","$700,00","$500,00",19,,,,,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$700,$700,$700,$700
Magento,https://cheesecake.com.au/,https://www.linkedin.com/company/the-cheesecake-shop,Australia,,,"$11.200,00","$800,00","$500,00",19,,,,,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$500,$800,$800,$800,$800
PrestaShop,https://dreamboxproject.com/,no url,Finland,,EU,"$4.000,00","$200,00","$200,00",19,,,,,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200,$200
WooCommerce,https://brianenos.com/,https://www.linkedin.com/company/brian-enos-inc.,United States,,,"$1.000,00","$50,00","$50,00",19,,,,,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50,$50
Magento,https://migato.com/,https://www.linkedin.com/company/migato-,Greece,,EU,"$8.000,00","$400,00","$400,00",19,,,,,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400,$400
Shopify,https://www.heavyrepgear.co.uk/,https://www.linkedin.com/company/heavy-rep-gear-ltd,United Kingdom,,EU,"$27.200,00","$1.700,00","$1.000,00",19,,,,,$1.00,$1.00,$1.00,$1.00,$1.00,$1.00,$1.50,$1.40,$1.40,$1.40,$1.40,$1.40,$1.40,$1.50,$1.50,$1.50,$1.70,$1.70,$1.70,$1.70
WooCommerce,https://unlockingthebible.org/,no url,United States,,,"$2.000,00","$100,00","$100,00",19,,,,,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100,$100
